(9.12517, 5.55431, -0.785589)
(9.22997, 5.44953, -0.785587)
(9.33481, 5.3447, -0.785584)
(9.43962, 5.23985, -0.785565)
(9.54453, 5.13497, -0.78555)
(9.64954, 5.03003, -0.785541)
(9.75451, 4.92495, -0.785524)
(9.85955, 4.8199, -0.785521)
(9.96461, 4.7148, -0.785531)
(10.0696, 4.60975, -0.785508)
(10.1746, 4.50476, -0.785492)
(10.2797, 4.39959, -0.785483)
(10.3847, 4.29441, -0.785501)
(10.4899, 4.1893, -0.785455)
(10.5949, 4.08427, -0.785465)
(10.6999, 3.97915, -0.785501)
(10.8049, 3.87409, -0.785495)
(10.9098, 3.76911, -0.785496)
(11.0147, 3.66422, -0.785503)
(11.1195, 3.55932, -0.785517)
(11.2242, 3.4547, -0.785525)
(11.3291, 3.34995, -0.785512)
(11.4338, 3.24517, -0.785509)
(11.5385, 3.14051, -0.785506)
(11.6432, 3.03575, -0.785508)
(11.7481, 2.93087, -0.78552)
(11.8529, 2.82595, -0.785518)
(11.9578, 2.72109, -0.785521)
(12.0627, 2.61635, -0.785546)
(12.1676, 2.5114, -0.785539)
(12.2725, 2.40654, -0.785532)
(12.3774, 2.30154, -0.785512)
(12.4824, 2.19653, -0.785522)
(12.5875, 2.09145, -0.785542)
(12.6924, 1.98636, -0.785517)
(12.7973, 1.88126, -0.785483)
(12.9023, 1.77612, -0.785477)
(13.0074, 1.67094, -0.785507)
(13.1125, 1.56592, -0.785521)
(13.2175, 1.46084, -0.785543)
(13.3224, 1.35592, -0.78556)
(13.4272, 1.25111, -0.785574)
(13.5319, 1.14646, -0.785586)
(13.6364, 1.04196, -0.7856)
(13.7408, 0.937552, -0.785601)
(13.8452, 0.833185, -0.785608)
(13.9498, 0.728689, -0.785612)
(14.0545, 0.623973, -0.785595)
(14.1592, 0.519203, -0.785593)
(14.264, 0.414374, -0.785589)
(14.3687, 0.309578, -0.785568)
(14.4736, 0.204823, -0.785546)
(14.5784, 0.0999614, -0.785528)
(14.6833, -0.00484968, -2.35632)
(14.5784, -0.109578, -2.35632)
(14.4735, -0.214286, -2.35634)
(14.3686, -0.319056, -2.35635)
(14.2637, -0.423754, -2.35635)
(14.1588, -0.528506, -2.35636)
(14.0539, -0.633236, -2.35642)
(13.949, -0.738033, -2.35645)
(13.8442, -0.8428, -2.35648)
(13.7394, -0.947473, -2.35652)
(13.6344, -1.05216, -2.35657)
(13.5293, -1.15701, -2.35665)
(13.4246, -1.26201, -2.35664)
(13.3198, -1.36685, -2.35666)
(13.2149, -1.47161, -2.35671)
(13.11, -1.57637, -2.35674)
(13.0053, -1.68095, -2.35677)
(12.9006, -1.78567, -2.35679)
(12.7961, -1.89032, -2.35681)
(12.6916, -1.99486, -2.35681)
(12.5871, -2.09953, -2.35677)
(12.4827, -2.20412, -2.35675)
(12.3782, -2.30874, -2.35674)
(12.2733, -2.41367, -2.35671)
(12.1686, -2.51824, -2.35668)
(12.064, -2.62274, -2.35664)
(11.9591, -2.72756, -2.35662)
(11.8544, -2.83225, -2.35662)
(11.7494, -2.93719, -2.35659)
(11.6448, -3.04215, -2.35663)
(11.5394, -3.14681, -2.35648)
(11.4346, -3.25181, -2.35649)
